대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
제기동 제기동한신휴플러스,서울특별시 동대문구 제기동 1212,서울특별시 동대문구 고산자로 534 (제기동),28172,127.039221,37.588384
청량리동 과학기술원,서울특별시 동대문구 청량리동 207-42,서울특별시 동대문구 회기로 85 (청량리동 한국과학기술원),2120,127.046327,37.595047
청량리동 서울성심병원,서울특별시 동대문구 청량리동 40-9,서울특별시 동대문구 왕산로 259 (청량리동 서울성심병원),848,127.049817,37.584172
청량리동 동부센트레빌103동,서울특별시 동대문구 청량리동 212,서울특별시 동대문구 홍릉로10길 48 (청량리동 홍릉동부아파트),13332,127.046252,37.585792
청량리동 홍릉동부제2임대아파트 105동,서울특별시 동대문구 청량리동 213,서울특별시 동대문구 제기로26길 26 (청량리동 동부센트레빌아파트),5520,127.045069,37.585351
청량리동 한신아파트(106동),서울특별시 동대문구 청량리동 60,서울특별시 동대문구 제기로 131 (청량리동 한신아파트),15156,127.049213,37.588024
회기동 경희대학교(청운관),서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26 (회기동),2636,127.05489,37.59395
회기동 서울바이오허브,서울특별시 동대문구 회기동 109-140,서울특별시 동대문구 회기로 117-3 (회기동 한국농촌경제연구원),400,127.049177,37.592404
회기동 경희의료원,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 23 (회기동 경희의료원),10024,127.050714,37.593775
회기동 경희의료원(주차빌딩),서울특별시 동대문구 회기동 109-5,서울특별시 동대문구 경희대로1나길 56-3 (회기동),2668,127.050358,37.593613
회기동 회기힐스테이트아파트지하주차장,서울특별시 동대문구 회기동 351,서울특별시 동대문구 회기로26길 15 (회기동 회기힐스테이트),11480,127.054204,37.589965
휘경1동 휘경미소지움아파트 지하주차장,서울특별시 동대문구 휘경동 106,서울특별시 동대문구 망우로 105 (휘경동 휘경미소지움아파트),21192,127.065368,37.591847
휘경1동 휘경동 동양아파트 지하주차장,서울특별시 동대문구 휘경동 115,서울특별시 동대문구 망우로 135 (휘경동 휘경동동양아파트),12556,127.067308,37.592709
휘경1동 롯데낙천대아파트,서울특별시 동대문구 휘경동 109,서울특별시 동대문구 외대역동로1길 24 (휘경동 휘경동롯데낙천대아파트),13830,127.063829,37.591808
이문1동 중앙하이츠빌,서울특별시 동대문구 이문동 84,서울특별시 동대문구 외대역동로 101 (이문동 중앙하이츠빌),21600,127.064911,37.596772
이문1동 래미안2차아파트,서울특별시 동대문구 이문동 311,서울특별시 동대문구 이문로12길 3-10 (이문동 래미안이문2차아파트),19530,127.060971,37.593028
이문1동 한국외국어대 교수학습개발원,서울특별시 동대문구 이문동 270-1,서울특별시 동대문구 이문로 107 (이문동),2530,127.057927,37.598293
이문2동 대우아파트 지하주차장,서울특별시 동대문구 이문동 45,서울특별시 동대문구 한천로58길139(이문동대우아파트),19059,127.070027,37.603661
새한아파트,서울특별시 광진구 구의동 656,서울특별시 광진구 자양로26길 71 (구의동 구의동새한아파트),6595,127.087837,37.541288
리버힐 오피스텔,서울특별시 광진구 광장동 127,서울특별시 광진구 아차산로78길 110 (광장동 리버힐오피스텔),6092,127.110178,37.549956
현대3단지아파트,서울특별시 광진구 광장동 484,서울특별시 광진구 아차산로70길 62 (광장동 광장현대3단지아파트),6072,127.098995,37.540377
한강우성아파트,서울특별시 광진구 자양동 87,서울특별시 광진구 능동로1길 15 (자양동 한강우성아파트),600,127.065535,37.532703
자양현대2차아파트,서울특별시 광진구 자양동 761,서울특별시 광진구 뚝섬로34길 9 (자양동 자양2차현대아파트),5684,127.070302,37.534402
JS빌딩,서울특별시 광진구 중곡동 131,서울특별시 광진구 천호대로 605 (중곡동 JS빌딩),560,127.08511,37.555344
테크노마트,서울특별시 광진구 구의동 546,서울특별시 광진구 광나루로56길 85 (구의동 테크노마트),55698,127.095692,37.535725
중곡2동 주민센터,서울특별시 광진구 중곡동 47,서울특별시 광진구 능동로 346 (중곡동 중곡제2동주민센터),539,127.081473,37.560178
대원외고,서울특별시 광진구 중곡동 176,서울특별시 광진구 용마산로22길 26 (중곡동 대원학원),516,127.089487,37.562493
국립정신건강센터,서울특별시 광진구 중곡동 30,서울특별시 광진구 용마산로 127 (중곡동 국립정신건강센터),3568,127.085777,37.565073
강변현대아파트,서울특별시 광진구 자양동 673,서울특별시 광진구 자양로3가길 43 (자양동 현대강변아파트),688,127.085937,37.528563
에스케이아파트,서울특별시 광진구 중곡동 292,서울특별시 광진구 용마산로 174 (중곡동 에스케이아파트),8803,127.086514,37.569284
중곡역,서울특별시 광진구 중곡동 273,서울특별시 광진구 능동로 지하 417 (중곡동 7호선 중곡역),8752,127.084072,37.565526
자양5차현대아파트,서울특별시 광진구 자양동 642,서울특별시 광진구 뚝섬로54길 74 (자양동 자양5차현대아파트),867,127.078421,37.528534
