좌표정보(x),좌표정보(y),비상시설위치,시설명건물명
155492.3811,474624.6895,인천광역시 강화군 강화읍 대산리 774번지,대산1리
148958,477552,인천광역시 강화군 양사면 962번지 2호,덕하1리
150485.2838,479356.0121,인천광역시 강화군 양사면 철산리 682번지,철산리
151585,473625,인천광역시 강화군 송해면 662번지,하도2리
144130.3354,476505.9533,인천광역시 강화군 양사면 산 413번지 27호,인화2리
,,인천광역시 강화군 송해면 662번지 2호,신당리
146979.835,477977.7104,인천광역시 강화군 양사면 산 197번지 1호,교산1리
155026.104,459423.9157,인천광역시 강화군 길상면 온수리 620-12,세종레지던스
156146.0219,459291.4442,인천광역시 강화군 길상면 장흥리 364번지 33호,장흥1리
156357.5958,474445.4343,인천광역시 강화군 강화읍 월곳리 412번지 4호,월곳리
128341.8409,463521.5686,인천광역시 강화군 서도면 698번지 1호,볼음분교
155000.864,473387.9794,인천광역시 강화군 강화읍 1240번지,대월초
154005.0985,469297.9358,인천광역시 강화군 선원면 663번지,세광아파트
154726.2827,471780.6581,인천광역시 강화군 강화읍 163번지,강화군청
-2292.677942,483910.0704,인천광역시 옹진군 대청면 616번지,대청면 7호
172992.3097,436478.1242,인천광역시 연수구 선학동 387번지,윤성아파트
170040.3326,436024.7374,인천광역시 연수구 청학동 559번지 1호,동보아파트
168616.1666,432958.2164,인천광역시 연수구 송도동 17번지 5호,송도더샵하버뷰13단지아파트
172343.3615,434567.8729,인천광역시 연수구 연수동 647번지,원인재역
2058.460261,476836.1165,인천광역시 옹진군 대청면 374번지 2호,대청면 8호
171148.7385,431422.1602,인천광역시 연수구 송도동 161번지 3호,송도캐슬앤해모로아파트
171862.5018,434241.9165,인천광역시 연수구 연수동 635번지,연수우성1차아파트
168337.3612,433502.284,인천광역시 연수구 송도동 16번지 4호,송도더샵엑스포10단지아파트
168622.8239,433249.1342,인천광역시 연수구 송도동 16번지 7호,송도더샵그린애비뉴8단지아파트
170548.2668,434083.6129,인천광역시 연수구 동춘동 938번지,건영아파트
-1682.526273,484880.7407,인천광역시 옹진군 대청면 12번지,대청면 3호
-3751.359145,481773.5183,인천광역시 옹진군 대청면 1264번지 5호,대청면 4호
-1384.499228,481956.791,인천광역시 옹진군 대청면 대청리 산 127번지 7호,대청면 5호
-1998.212814,483545.585,인천광역시 옹진군 대청면 대청리 791번지,대청면 6호
153562.218,471636.3772,인천광역시 강화군 강화읍 239번지,문예회관
154378.1419,471819.3642,인천광역시 강화군 강화읍 205번지 5호,중앙시장 가동
154402.9557,471896.3728,인천광역시 강화군 강화읍 523번지 3호,중앙시장 나동
168379.9708,430965.3185,인천광역시 연수구 송도동 48번지,인천대입구역
136835.863,475284.1467,인천광역시 강화군 교동면 대룡리 723번지 7호,교동고
,,인천광역시 강화군 교동면 10번지 2호,지석초
132756.1008,461162.5803,인천광역시 강화군 서도면 주문도리 895번지 2호,서도보건지소
148098.6388,475254.1156,인천광역시 강화군 하점면 617번지 2호,하점면사무소
156124.329,471246.4326,인천광역시 강화군 강화읍 1100번지,베이힐아파트
154825.3566,471534.8157,인천광역시 강화군 강화읍 599번지,미래지향아파트
,,인천광역시 강화군 삼산면 80번지,매음1리
171220.7187,433968.2062,인천광역시 연수구 동춘동 924번지 3호,삼성럭키아파트
170809.6844,433320.9741,인천광역시 연수구 동춘동 931번지,무지개마을아파트
171663.4457,434052.9556,인천광역시 연수구 동춘동 925번지,한양1차아파트
86542.68908,464341.9596,인천광역시 옹진군 연평면 연평리 산 3번지 1호,연평면 5호
85764.36951,463131.3932,인천광역시 옹진군 연평면 연평리 388번지 3호,연평면 3호
86186.44518,457201.0856,인천광역시 옹진군 연평면 연평리 1012번지,연평면 6호
85681.40412,463296.5429,인천광역시 옹진군 연평면 411번지 3호,연평면 7호
-2748.186081,483563.4713,인천광역시 옹진군 대청면 대청리 1143번지 4호,대청면 1호
173283.9712,436218.6437,인천광역시 연수구 선학동 241번지 2호,선학역
173279.4201,437300.3994,인천광역시 연수구 선학동 117번지 1호,문학경기장역
-1195.693185,482769.9806,인천광역시 옹진군 대청면 389번지 1호,대청면 2호
156056.0768,471239.7142,인천광역시 강화군 강화읍 423번지,유성아파트
156484.0598,470788.277,인천광역시 강화군 강화읍 667번지,현대아파트
154953.5613,471035.9876,인천광역시 강화군 강화읍 222번지,강화터미널
168696.7299,435790.3825,인천광역시 연수구 옥련동 636번지 1호,우성아파트
154560.5762,468028.1417,인천광역시 강화군 선원면 245번지 1호,선원교회
148523.0423,459133.5306,인천광역시 강화군 화도면 952번지 2호,화도농협
168837.5109,435693.9553,인천광역시 연수구 옥련동 645번지 1호,옥련2차우성아파트
171204.2287,433121.0015,인천광역시 연수구 동춘동 927번지 1호,동막역
85515.30194,463058.8547,인천광역시 옹진군 연평면 연평리 475번지 5호,연평면 1호
174107.8623,443710.4697,인천광역시 부평구 산곡동 306번지 3호,우성4차아파트 지하
174271.2523,444445.6754,인천광역시 부평구 산곡동 274번지,경남2차아파트 지하주자장
174336.5026,444859.7654,인천광역시 부평구 산곡동 124번지 1호,현대5차아파트 지하주차장
169029.5574,441268.4521,인천광역시 동구 송림동 343번지,동산휴먼시아 2단지
167703.1993,441567.4873,인천광역시 동구 송현동 87번지 2호,송현성결교회
168314.4792,441601.5245,인천광역시 동구 송림동 56번지 1호,청소년수련관
168696.1127,441498.2214,인천광역시 동구 송림동 39번지,송림지하보도
167617.1118,442155.269,인천광역시 동구 송현동 66번지 24호,삼두2차아파트
168374.8384,441347.3318,인천광역시 동구 송림동 109번지 2호,동구청
167894.5447,441277.4545,인천광역시 동구 금곡동 33번지 2호,두손피카디리
168470.5362,442214.8442,인천광역시 동구 송현동 6번지 26호,송현주공아파트
167507.1101,441994.257,인천광역시 동구 송현동 66번지 51호,삼두1차아파트
154289.7722,469176.3261,인천광역시 강화군 선원면 619번지,강화2차세광아파트
155541.089,471438.3235,인천광역시 강화군 강화읍 165번지 1호,그랑드빌아파트
152585.2174,473797.823,인천광역시 강화군 송해면 357번지 2호,솔정1리
147386.2847,479283.9253,인천광역시 강화군 양사면 북성리 880번지 1호,북성1리
156884.1696,472137.4233,인천광역시 강화군 강화읍 371번지 2호,용정1리
152217.9282,466424.7952,인천광역시 강화군 불은면 898번지 6호,삼동암1리
169471.2395,436145.1605,인천광역시 연수구 옥련동 643번지 3호,풍림아파트
155585.1404,465611.8071,인천광역시 강화군 불은면 고능리 821번지 2호,고능1리
148903.4407,462510.4076,인천광역시 강화군 양도면 186번지 1호,하일리
,,인천광역시 강화군 양도면 748번지 7호,건평리
143916.2063,472092.4092,인천광역시 강화군 하점면 망월리 2695번지,망월3리 주민대피시설
,,인천광역시 강화군 양사면 607번지 1호,덕하3리
,,인천광역시 강화군 송해면 996번지 19호,숭뢰1리
139854.8941,467123.9127,인천광역시 강화군 삼산면 석모리 405,석모2리
,,인천광역시 강화군 서도면 548번지,주문1리
153448.6501,471641.2912,인천광역시 강화군 강화읍 243번지 2호,덕신고
171441.2156,434235.6796,인천광역시 연수구 동춘동 923번지 5호,연수구청
168563.6915,435788.4155,인천광역시 연수구 옥련동 634번지 1호,삼성아파트
169099.9232,435804.3747,인천광역시 연수구 옥련동 632번지,서해아파트
-2544.629502,499686.3793,인천광역시 옹진군 백령면 1798번지 1호,백령면 13호
773.7803645,496791.0003,인천광역시 옹진군 백령면 413번지 25호,백령면 4호
-302.8928371,498951.0959,인천광역시 옹진군 백령면 695번지 3호,백령면 7호
-473.2135894,497103.3009,인천광역시 옹진군 백령면 533번지 5호,백령면 11호
-389.3050026,498721.9372,인천광역시 옹진군 백령면 634번지 1호,"백령면 3,5호"
-4769.577322,497860.1114,인천광역시 옹진군 백령면 북포리 413번지 7호,백령면 15호
175142.6585,439357.1256,인천광역시 남동구 구월동 341번지 5호,모래내시장역
176353.4244,439536.5596,인천광역시 남동구 만수동 29번지,만수주공2단지아파트
176669.873,440531.1871,인천광역시 남동구 만수동 5번지 426호,신동아아파트
173148.8476,440600.1615,인천광역시 남동구 간석동 609번지,우성2차아파트
173551.5073,438771.1337,인천광역시 남동구 구월동 1127번지,씨티은행
176152.4599,438373.325,인천광역시 남동구 만수동 1008번지,남동구청
176715.1598,437982.5,인천광역시 남동구 만수동 1020번지,만수6동 행정복지센터
173449.2653,438055.7187,인천광역시 남동구 구월동 1465번지 1호,뉴코아아울렛
174357.9349,440376.4723,인천광역시 남동구 간석동 172번지 1호,교원공제회관
174245.5311,440268.0552,인천광역시 남동구 간석동 179번지 3호,태화오피스텔
174632.2414,434254.3858,인천광역시 남동구 논현동 564번지 1호,논현주공1단지아파트
174417.2259,434351.3797,인천광역시 남동구 논현동 563번지 3호,논현주공2-2단지 아파트
174417.2259,434351.3797,인천광역시 남동구 논현동 563번지 3호,논현주공2-1단지 아파트
174959.5124,436700.4877,인천광역시 남동구 남촌동 391번지 3호,풍림2차아파트
173399.6792,438487.7486,인천광역시 남동구 구월동 1408번지,종합문화예술회관역
152615,465600,인천광역시 강화군 불은면 483번지 6호,삼동암2리
152213,457883,인천광역시 강화군 화도면 31번지 1호,화도면 덕포2리 주민대피시설
148424.1605,464228.4004,인천광역시 강화군 양도면 삼흥리 1112번지 2호,삼흥1리
145777.5736,468616.5839,인천광역시 강화군 내가면 고천리 804번지 9호,고천2리
173576.3515,435908.3432,인천광역시 연수구 선학동 353번지,대동아파트
171651.8443,433659.0074,인천광역시 연수구 동춘동 926번지 11호,동춘역
172614.4319,435636.208,인천광역시 연수구 연수동 384번지,신연수역
170626.7615,435307.3612,인천광역시 연수구 청학동 455번지,연수하나1차아파트
-548.2739057,499462.1258,인천광역시 옹진군 백령면 1047번지,백령면 1호
168553.1165,435944.3709,인천광역시 연수구 옥련동 631번지,원흥아파트
171154.7504,435799.5233,인천광역시 연수구 연수동 536번지,동남아파트
-82.18845968,499341.7088,인천광역시 옹진군 백령면 825번지,백령면 8호
-624.0533127,498884.3184,인천광역시 옹진군 백령면 1184번지 1호,백령면 10호
-6267.115252,497979.4164,인천광역시 옹진군 백령면 489번지,백령면 24호
-5464.000015,497682.6465,인천광역시 옹진군 백령면 2번지,백령면 26호
168366.5352,436278.3142,인천광역시 연수구 옥련동 628번지,옥련현대아이파크1차아파트
169026.5654,435962.3298,인천광역시 연수구 옥련동 637번지 1호,옥련현대아이파크4차아파트
169705.9832,431785.6963,인천광역시 연수구 송도동 3번지 46호,송도현대아이파크아파트
169107.9451,432429.5431,인천광역시 연수구 송도동 3번지 10호,풍림아이원2단지아파트
172046.0256,434468.6115,인천광역시 연수구 연수동 634번지,연수우성2차아파트
171489.3842,433803.5317,인천광역시 연수구 동춘동 925번지 7호,대우삼환아파트
171827.1044,434646.8931,인천광역시 연수구 연수동 633번지,연수대동아파트
171335.6115,434742.5396,인천광역시 연수구 연수동 597번지 3호,두손메카오피스텔
171987.637,435679.9109,인천광역시 연수구 연수동 534번지,연수유천아파트
171776.4866,435432.6978,인천광역시 연수구 연수동 576번지,태산아파트
169137.2343,433028.2596,인천광역시 연수구 송도동 15번지 12호,송도코오롱더프라우1단지주상복합
168379.9708,430965.3185,인천광역시 연수구 송도동 48번지,지식정보단지역
169367.7474,432618.0673,인천광역시 연수구 송도동 2번지 7호,풍림아이원1단지아파트
170022.5184,431135.7231,인천광역시 연수구 송도동 172번지 1호,송도테크노파크IT센터
170689.3016,436326.6844,인천광역시 연수구 청학동 545번지 1호,현대아파트
168329.9368,432626.4471,인천광역시 연수구 송도동 19번지 7호,송도자이하버뷰2단지아파트
172249.3247,435072.4965,인천광역시 연수구 연수동 579번지,대우1차아파트
166473.628,441332.6245,인천광역시 중구 관동1가 9번지 1호,중구청
167848.4059,432799.8628,인천광역시 연수구 송도동 23번지 3호,송도더샵센트럴파크1단지주상복합
168560.0994,432352.5091,인천광역시 연수구 송도동 22번지 22호,송도푸르지오월드마크8단지오피스텔
167323.1768,432918.6703,인천광역시 연수구 송도동 78번지,센트럴파크역
168141.7087,432551.8997,인천광역시 연수구 송도동 23번지 4호,송도더샵센트럴파크2단지주상복합
173092.3429,439957.9574,인천광역시 미추홀구 주안동 892번지 1호 두산주상복합아파트,두산아파트
172087.2081,437280.734,인천광역시 미추홀구 문학동 390번지 4호,국일아파트 지하
171298.0315,437634.7009,인천광역시 미추홀구 학익동 48번지 14호,신동아아파트 19동
171298.0315,437634.7009,인천광역시 미추홀구 학익동 48번지 14호,신동아아파트 20동
171298.0315,437634.7009,인천광역시 미추홀구 학익동 48번지 14호,신동아아파트 21동
173149.9569,437831.4454,인천광역시 미추홀구 관교동 13번지 9호,성지아파트 101동
172982.6168,437876.5125,인천광역시 미추홀구 관교동 13번지 7호,쌍용아파트 6동
173001.7402,438004.7598,인천광역시 미추홀구 관교동 13번지 6호,삼환 1차아파트(1)
173168.1757,437702.8839,인천광역시 미추홀구 관교동 13번지 10호,삼환2차아파트(1)
172982.6168,437876.5125,인천광역시 미추홀구 관교동 13번지 7호,쌍용아파트 1동
172982.6168,437876.5125,인천광역시 미추홀구 관교동 13번지 7호,쌍용아파트 2동
172982.6168,437876.5125,인천광역시 미추홀구 관교동 13번지 7호,쌍용아파트 3동
172982.6168,437876.5125,인천광역시 미추홀구 관교동 13번지 7호,쌍용아파트 5동
173001.7402,438004.7598,인천광역시 미추홀구 관교동 13번지 6호,삼환1차아파트 104동
172897.7334,438065.9137,인천광역시 미추홀구 관교동 13번지 3호,동아아파트 1동
172897.7334,438065.9137,인천광역시 미추홀구 관교동 13번지 3호,동아아파트 2동
175935.8047,446811.9405,인천광역시 부평구 갈산동 416번지,갈산1동 태화아파트
176513.4071,442740.8261,인천광역시 부평구 부개동 270번지,그린힐주상복합아파트
176678.5722,442589.6192,인천광역시 부평구 부개동 257번지 1호,인천은광학교
172345.5298,439523.86,인천광역시 미추홀구 주안동 300번지 3호,에이스빌딩
172163.6538,438143.0407,인천광역시 미추홀구 주안동 1600번지,신비마을아파트(101동~107동) 주차장
167930.0209,438551.8567,인천광역시 미추홀구 용현동 627번지 40호,금호아파트 12동
168801.556,439687.4666,인천광역시 미추홀구 숭의동 294번지 11호,동아시티월드
177035.9319,443466.2176,인천광역시 부평구 부개동 191번지 15호,농협부이지점
173988.2101,444026.7661,인천광역시 부평구 산곡동 233번지 26호,프리상뜨아파트
173006.9056,441842.8228,인천광역시 부평구 십정동 216번지,백영아파트
174945.2377,436538.3528,인천광역시 남동구 남촌동 320번지 2호,풍림1차아파트
176896.5089,446775.2634,인천광역시 부평구 삼산동 40번지 1호,현대아파트
173012.3997,446629.3046,인천광역시 부평구 청천동 377번지 9호,인향아파트주차장
176716.4545,446682.8943,인천광역시 부평구 삼산동 56번지 3호,삼보아파트
177306.3932,446541.4985,인천광역시 부평구 삼산동 389번지 8호,미래타운4단지아파트
176881.8729,445450.3664,인천광역시 부평구 삼산동 454번지 4호,행복한마을서해그랑블아파트 지하주차장
168560.2322,438658.5978,인천광역시 미추홀구 용현동 664번지,SK Sky View 아파트 지하주차장
170145.1585,441104.5815,인천광역시 미추홀구 도화동 43번지 15호,도화서희스타힐스 아파트
171366.3392,437804.5394,인천광역시 미추홀구 학익동 48번지 2호,신동아아파트 23동
171366.3392,437804.5394,인천광역시 미추홀구 학익동 48번지 2호,신동아아파트 24동
171366.3392,437804.5394,인천광역시 미추홀구 학익동 48번지 2호,신동아아파트 27동
167852.8908,439526.2538,인천광역시 미추홀구 용현동 659번지,용현엑슬루타워
172897.7334,438065.9137,인천광역시 미추홀구 관교동 13번지 3호,동아아파트 3동
172897.7334,438065.9137,인천광역시 미추홀구 관교동 13번지 3호,동아아파트 5동
175701.2131,443745.3876,인천광역시 부평구 부평동 185번지,부평역
175455.35,446184.3216,인천광역시 부평구 갈산동 159번지,갈산 이안 아파트
176788.0669,445076.993,인천광역시 부평구 삼산동 458번지 1호,인천삼산월드체육관 지하주차장
176214.0468,438550.2761,인천광역시 남동구 만수동 983번지 5호 만수1동 행정복지센터,만수1동 행정복지센터
174748.0329,440334.6589,인천광역시 남동구 간석동 45번지 8호,동원아파트
172809.2933,440678.5373,인천광역시 남동구 간석동 893번지,현대아파트
176795.1638,439590.7533,인천광역시 남동구 만수동 13번지,만수주공4단지아파트
176706.6642,439802.962,인천광역시 남동구 만수동 17번지,만수주공5단지아파트
176878.0142,437822.7933,인천광역시 남동구 만수동 1038번지,삼익아파트
178004.7833,437053.2244,인천광역시 남동구 서창동 538번지,태평2차아파트
176690,437688.6815,인천광역시 남동구 만수동 1045번지,한국아파트
174018.9871,439707.1601,인천광역시 남동구 간석동 938번지 1호,어울림아파트
173203.475,439592.597,인천광역시 남동구 간석동 900번지 153호,현대홈타운아파트
173972.5717,439484.5793,인천광역시 남동구 간석동 408번지 1호,다정한마을서해그랑블아파트
176118.9328,433909.1666,인천광역시 남동구 논현동 601번지 1호,웰카운티10단지아파트
175701.2131,443745.3876,인천광역시 부평구 부평동 224번지 1호,부평중앙지하상가
175396.1028,445417.2125,인천광역시 부평구 갈산동 362번지,하나아파트
176077.3075,445435.5519,인천광역시 부평구 갈산동 369번지,한국아파트
174955.4194,445597.4759,인천광역시 부평구 부평동 112번지,부평구청지하철역
174109.1845,442356.1111,인천광역시 부평구 십정동 182번지 95호,대주파크빌라
175701.2131,443745.3876,인천광역시 부평구 부평동 224번지 1호,부평역지하상가
177075.0391,443845.311,인천광역시 부평구 부개동 120번지 46호,백영아파트
176428.7969,446587.3174,인천광역시 부평구 삼산동 494번지,엠코타운아파트
177766.2077,441674.5753,인천광역시 부평구 구산동 360번지,부평자이아파트
173362.5391,445567.4957,인천광역시 부평구 산곡동 65번지 1호,산곡세창아파트
173061.3041,444724.241,인천광역시 부평구 산곡동 506번지,신명스카이아파트
173694.5285,444093.5241,인천광역시 부평구 산곡동 222번지,한신휴아파트
176449.8818,445307.2155,인천광역시 부평구 삼산동 453번지 1호,삼산타운7단지아파트 지하주차장
176224.021,444322.1464,인천광역시 부평구 부평동 119번지 2호,스위트홈
175925.8009,443427.734,인천광역시 부평구 부평동 568번지 1호,대준블루온
176045.6448,443860.3774,인천광역시 부평구 부평동 146번지 26호,라일플로리스1차
175850.0813,443642.9172,인천광역시 부평구 부평동 150번지 25호,라일플로리스2차
176147.9706,444214.6804,인천광역시 부평구 부평동 124번지 32호,갤럭시아파트
176120.4167,446691.4651,인천광역시 부평구 갈산동 454번지,대성유니드아파트
177055.1936,444164.5396,인천광역시 부평구 부개동 501번지 1호,주공6단지아파트
177033.488,444770.7915,인천광역시 부평구 부개동 497번지 1호,보람아파트
167007.3865,440690.6068,인천광역시 중구 신생동 25번지 1호,민방위교육장
164630.2882,439272.642,인천광역시 중구 항동7가 58번지 1호,연안부두 해양광장 공영지하주차장
167087.1675,437630.7802,인천광역시 중구 신흥동3가 39번지 24호,인천중구문화회관
166271.602,442005.5329,인천광역시 중구 송월동2가 2번지 5호,남경포브아파트
151619.0973,438436.5914,인천광역시 중구 운서동 2851번지,인천국제공항 제1여객터미널 교통센터 지하3층 주차장
149826.3862,440817.2597,인천광역시 중구 운서동 2868번지,인천국제공항 제2여객터미널 교통센터 지하1층 주차장
152156.5614,437569.0333,인천광역시 중구 운서동 2850번지 3호,월드게이트
152307.8171,437542.018,인천광역시 중구 운서동 2850번지 6호,LG인천공항에클라트
144295.6182,438927.2324,인천광역시 중구 을왕동 773번지,영종스카이리조트
176640.0111,438271.5035,인천광역시 남동구 만수동 1086번지 1호,이삭아파트
177693.492,437325.3689,인천광역시 남동구 서창동 560번지 2호,서창임광그대가아파트
177713.5258,438837.0209,인천광역시 남동구 장수동 806번지 3호,장수주공아파트
175050.8411,439535.7105,인천광역시 남동구 구월동 1246번지,올림픽생활기념관
174572.8056,439371.4354,인천광역시 남동구 구월동 23번지 1호,구월2동 행정복지센터
174681.4574,440477.9064,인천광역시 남동구 간석동 49번지 1호,간석3동 행정복지센터
176474.3405,433913.8898,인천광역시 남동구 논현동 600번지 9호,휴먼시아13단지아파트
172607.5134,440839.3265,인천광역시 남동구 간석동 617번지 22호,신원아침도시아파트
172453.279,440647.3787,인천광역시 남동구 간석동 616번지 7호,신동아파밀리에명품아파트
175970.4351,433759.2037,인천광역시 남동구 논현동 603번지 5호,논현1동 행정복지센터
174492.5104,438420.3064,인천광역시 남동구 구월동 1484 구월1동 행정복지센터,구월1동 행정복지센터
175562.743,440167.9243,인천광역시 남동구 만수동 844번지 1호,대성유니드아파트
175859.7729,435390.9684,인천광역시 남동구 도림동 654번지 2호,벽산블루밍아파트
174431.4971,439194.3068,인천광역시 남동구 구월동 23번지,1단지힐스테이트롯데캐슬아파트
176338.5052,432735.7244,인천광역시 남동구 논현동 755번지 4호,에코메트로한화꿈에그린12단지아파트
173128.8953,433691.4224,인천광역시 남동구 고잔동 637번지,한국산업단지공단 경인지역본부
173009.4849,433720.3083,인천광역시 남동구 고잔동 636번지,인천종합비즈니스센터
175700.3202,432888.3507,인천광역시 남동구 논현동 744번지 4호,논현고잔동 행정복지센터
175373.8735,431640.4721,인천광역시 남동구 논현동 766번지 1호,에코메트로한화꿈에그린9단지아파트
175950.7663,442881.8499,인천광역시 부평구 부평동 610번지 17호,해마루아파트
168446.4265,439180.9168,인천광역시 미추홀구 용현동 649번지,용현성원상떼빌아파트 지하 3
171064.9499,439775.007,인천광역시 미추홀구 도화동 431번지 3호,한승미메이드
170858.6272,440821.9262,인천광역시 미추홀구 도화동 120번지 12호,향진원
172564.9727,439929.9506,인천광역시 미추홀구 주안동 1614번지 주안더월드스테이트,더월드스테이트아파트112동
172564.9727,439929.9506,인천광역시 미추홀구 주안동 1614번지 주안더월드스테이트,더월드스테이트아파트121동
174069.6777,443147.0598,인천광역시 부평구 산곡동 307번지,현대1차아파트 지하
174035.0189,445043.6085,인천광역시 부평구 산곡동 510번지,산곡푸르지오아파트
176914.3034,442811.7601,인천광역시 부평구 부개동 304번지,파워프라자
176738.9183,443154.1336,인천광역시 부평구 부개동 512번지,대우푸르지오아파트
173139.0107,441901.6363,인천광역시 부평구 십정동 609번지,부평금호어울림아파트
173649.2593,442131.7924,인천광역시 부평구 십정동 186번지 7호,십정동한국아파트
173568.6059,442155.5043,인천광역시 부평구 십정동 187번지 22호,동보아파트
176221.1914,442452.9966,인천광역시 부평구 부개동 442번지 3호,부개동 한국아파트
167000.9875,441021.9386,인천광역시 중구 신포동 16번지 1호,신포지하상가
167541.9194,439669.4463,인천광역시 중구 신흥동3가 7번지 206호,인하대병원
172564.9727,439929.9506,인천광역시 미추홀구 주안동 1614번지 주안더월드스테이트,더월드스테이트아파트124동
172952.823,439998.472,인천광역시 미추홀구 주안동 1618번지,더월드스테이트아파트201동
171864.4805,437294.7001,인천광역시 미추홀구 문학동 376번지 1호,호산아파트 지하
171702.3452,440522.3431,인천광역시 미추홀구 주안동 24번지 24호,진도로르빌 지하주차장
171756.3516,440672.268,인천광역시 미추홀구 주안동 15번지 38호,고운누리아파트 지하주차장
167264.3993,441617.7313,인천광역시 중구 인현동 1번지 140호,인현지하상가
160491.2331,443287.4205,인천광역시 중구 중산동 1878번지 1호,영종한양수자인아파트지하주차장
176772.2413,444821.3464,인천광역시 부평구 부개동 496번지 2호,주공1단지아파트
176801.6517,444469.4201,인천광역시 부평구 부개동 498번지 5호,주공3단지아파트
169164.7899,441236.9087,인천광역시 동구 송림동 336번지 송림동동 336호,송림주공아파트
174172.5213,439905.781,인천광역시 남동구 간석동 205번지 1호,올리브아울렛
175392.7043,439529.0327,인천광역시 남동구 만수동 905번지,효성상아아파트
173668.5445,439398.0923,인천광역시 남동구 구월동 1137번지,인천광역시교육청
167332.7602,441630.4758,인천광역시 중구 인현동 1번지 1호,새인천지하상가
167453.7082,440524.5316,인천광역시 중구 신흥동1가 34번지 1호,경남아너스빌 아파트
154146.7675,444264.3507,인천광역시 중구 운서동 2745번지 1호,동원베네스트 영종타운하우스
167171.5133,440425.7994,인천광역시 중구 신생동 38번지 5호,신생삼성아파트
166473.628,441332.6245,인천광역시 중구 관동1가 9번지 1호,인천중구청 지하주차장
161524.7842,443248.3405,인천광역시 중구 중산동 1887번지 2호,영종힐스테이트 아파트 지하 주차장
160698.871,443496.2273,인천광역시 중구 중산동 1881번지 1호,영종우미린1단지아파트지하주차장
160519.1815,442820.6313,인천광역시 중구 중산동 1871번지 3호,영종우미린 2단지 아파트 지하주차장
160931.693,442562.074,인천광역시 중구 중산동 1872번지 2호,영종동보노빌리티아파트 지하 주차장
160228.6035,442625.3381,인천광역시 중구 중산동 1871번지 5호,영종7단지 LH 국민임대아파트 지하주차장
161344.5098,443400.8487,인천광역시 중구 중산동 1887번지 1호,영종한라비발디아파트 지하주차장
167605.2896,440199.7011,인천광역시 중구 신흥동3가 7번지 9호,신흥 한별프라이빌 아파트
167252.2044,441464.922,인천광역시 중구 인현동 20번지 11호,중앙로지하상가
156470.2577,442251.5998,인천광역시 중구 운서동 2923번지,영종금호 어울림1차아파트
154507.7247,443703.0685,인천광역시 중구 운서동 2787번지 1호,영종금호1차 베스트빌아파트
168252.9269,441011.0474,인천광역시 동구 창영동 41번지 3호,인천세무서
169520.3405,440520.1373,인천광역시 미추홀구 숭의동 59번지 17호,제물포지하상가
169133.1923,439453.1675,인천광역시 미추홀구 용현동 453번지 92호 용현3동 행정복지센터,용현3동행정복지센터
167816.651,441843.0783,인천광역시 동구 송현동 154번지,솔빛마을주공1차아파트
171232.5623,440577.5444,인천광역시 미추홀구 주안동 26번지 8호,태화아파트 지하1층주차장
171526.1134,441337.9228,인천광역시 미추홀구 주안동 1381번지,케이피일렉트릭
167930.0209,438551.8567,인천광역시 미추홀구 용현동 627번지 40호,금호아파트9동
168296.2176,438165.0879,인천광역시 미추홀구 용현동 627번지 534호,신창미션힐아파트 103동 지하주차장
168296.2176,438165.0879,인천광역시 미추홀구 용현동 627번지 534호,신창미션힐아파트 104동 지하주차장
168296.2176,438165.0879,인천광역시 미추홀구 용현동 627번지 534호,신창미션힐아파트 108동 지하주차장
170414.9386,440435.6396,인천광역시 미추홀구 도화동 601번지 1호,동아아파트
168839.5917,440689.1339,인천광역시 미추홀구 숭의동 84번지 1호,극동아파트
168116.2594,438916.9531,인천광역시 미추홀구 용현동 611번지 4호,서해아파트 지하주차장
170912.0842,439869.6925,인천광역시 미추홀구 도화동 421번지 18호,종합건설본부
170485.3921,440372.6608,인천광역시 미추홀구 도화동 601번지 2호,나산아파트
172576.6118,437142.0798,인천광역시 미추홀구 문학동 482번지,문학경기장내 야구장 지하주차장
171532.1653,437896.8593,인천광역시 미추홀구 주안동 1298번지,금양아파트주차장
176616.98,443527.5834,인천광역시 부평구 부개동 466번지,굴포천역
173622.5935,441994.4013,인천광역시 부평구 십정동 608번지 4호,십정주공뜨란채아파트
175405.1137,443089.591,인천광역시 부평구 부평동 738번지 21호,인천메트로 부평역
172759.8077,444964.3442,인천광역시 부평구 산곡동 179번지 69호,현대아파트2차
167378.4482,441465.6137,인천광역시 중구 인현동 1번지 109호,동인천지하상가
167400.269,441496.9646,인천광역시 중구 인현동 1번지 436호,구동인천지하상가
171232.5623,440577.5444,인천광역시 미추홀구 주안동 26번지 8호,태화아파트 지하2층주차장
169309.3759,441642.3634,인천광역시 미추홀구 도화동 982번지,도화신동아파밀리에아파트
174121.3009,445822.5806,인천광역시 부평구 청천동 176번지,청천푸르지오아파트
174560.4581,444998.4368,인천광역시 부평구 청천동 200번지,금호타운아파트
175625.3865,445976.2124,인천광역시 부평구 갈산동 171번지 5호,정광아파트
174219.956,446372.8921,인천광역시 부평구 청천동 399번지 6호,광명아파트
173977.629,446795.906,인천광역시 부평구 청천동 390번지 5호,무지개아파트
175577.8664,445465.6057,인천광역시 부평구 갈산동 363번지,태화아파트
175858.6431,445450.9257,인천광역시 부평구 갈산동 368번지,두산아파트
