좌표정보(x),좌표정보(y),비상시설위치,시설명건물명
344705.6077,370867.9293,경상북도 영주시 영주동 42번지 11호,영주제일교회
322714.2887,290403.0632,경상북도 구미시 광평동 456번지 11호,쉬즈산부인과
357739.2005,239317.5374,경상북도 청도군 청도읍 656번지,성조아파트 101동 지하주차장
344215.8749,370370.9022,경상북도 영주시 영주동 513번지 3호,동진타워아파트
321878.4566,286399.0041,경상북도 구미시 오태동 761번지,대동타운1차
323868.81,290887.3901,경상북도 구미시 공단동 207번지,구미소방서
320459.6241,290779.541,경상북도 구미시 형곡동 170번지 1호,형곡삼우타운
325226.7248,289696.3536,경상북도 구미시 공단동 259번지,한화시스템(본관동)
318292.1007,294377.3579,경상북도 구미시 봉곡동 5번지,현진에버빌 3주차장
321789.6663,286113.8527,경상북도 구미시 오태동 776번지,대동2차행복타운
327088.3932,292850.6819,경상북도 구미시 구포동 624번지,엘지이노텍(주)구미2공장
354445.5597,240217.0792,경상북도 청도군 화양읍 58번지,화양읍사무소 창고
320650.7339,290808.9275,경상북도 구미시 형곡동 176번지,삼우맨션(902동)
320194.2828,290722.9583,경상북도 구미시 형곡동 168번지 6호,이구로얄 2차
320349.7155,290824.975,경상북도 구미시 형곡동 169번지,형곡4주공아파트
320950.4969,291990.9101,경상북도 구미시 송정동 45번지,한가람빌리지
319119.0518,294915.879,경상북도 구미시 도량동 77번지,파크맨션(P-3 지하주차장)
318292.1007,294377.3579,경상북도 구미시 봉곡동 5번지,봉곡뜨란채104동앞지하
353450.1331,317954.9269,경상북도 의성군 의성읍 상리리 554번지 3호,우성아파트(전동지하)
319946.1234,290340.2,경상북도 구미시 형곡동 308번지 1호,무지개2차
322992.2147,288700.0331,경상북도 구미시 공단동 290번지,삼성SDI 구미사업장(24동 물류동)
323524.0146,292241.347,경상북도 구미시 공단동 758번지,우림필유아파트
320539.0526,292245.931,경상북도 구미시 송정동 3번지,푸르지오캐슬A단지 104동 앞
329139.4402,294248.5748,경상북도 구미시 옥계동 935번지 구미옥계 e-편한세상,e편한세상 (103동)
328394.2865,294418.3986,경상북도 구미시 옥계동 906번지,우미린
320054.8191,292745.7746,경상북도 구미시 원평동 369번지 3호,숭강빌딩
353274.9143,317937.2211,경상북도 의성군 의성읍 상리리 767번지,상리휴먼시아(전동지하)
319476.8589,292703.4057,경상북도 구미시 원평동 83번지 13호,원평대동아파트
322076.3676,287887.7368,경상북도 구미시 상모동 76번지 1호,우방신세계아파트2단지(204동~206동)
321597.4103,288371.5981,경상북도 구미시 상모동 197번지 3호,상모두산맨션아파트(지하주차장)
322091.736,289037.511,경상북도 구미시 사곡동 697번지 1호,보성황실1차아파트 지하주차장(107동~108동)
322417.3751,289872.1522,경상북도 구미시 사곡동 656번지 9호,보성황실2차아파트지하주차장(101동~102동)
322111.8746,288154.7907,경상북도 구미시 상모동 72번지,화성파크프레지던트1단지아파트(지하주차장)
323767.8642,291050.0593,경상북도 구미시 공단동 155번지,엘지유니참(주)
324248.4093,291125.103,경상북도 구미시 공단동 171번지,(주)피앤큐텍 2공장
321659.2213,288215.8195,경상북도 구미시 상모동 271번지,세양청마루아파트(지하주차장)
324099.9158,292085.2473,경상북도 구미시 비산동 368번지,벽산아파트
324499.6452,292176.9171,경상북도 구미시 비산동 28번지,강변보성타운
314869.7682,311625.7976,경상북도 구미시 옥성면 965번지 19호,옥성면사무소
320969.0864,291808.3648,경상북도 구미시 송정동 50번지,구미시청
321562.6076,291479.5396,경상북도 구미시 송정동 455번지 1호,우방1차아파트(5동)
321309.8442,292024.6336,경상북도 구미시 송정동 38번지 5호,우방2차아파트
384400.2047,328107.2823,경상북도 청송군 청송읍 330번지,청송군청(지하1층)
303889.8255,323946.3823,경상북도 상주시 남성동 140번지 3호,상주시청(시 청사)
329484.1956,351362.3988,경상북도 예천군 예천읍 남본리 237-2 세종타운,세종타운 지하주차장
329395.9326,351326.6514,경상북도 예천군 예천읍 서본리 64-3 두영서부빌라트,두영서부빌라트 지하주차장
318790.8123,292853.1111,경상북도 구미시 남통동 20번지 1호,두산그린아파트
323460.0378,291848.9751,경상북도 구미시 공단동 112-2 비산동행정복지센터,비산동 주민센터
323682.0661,291925.5681,경상북도 구미시 비산동 489번지 1호,전원리빙필(비산)
324602.3377,291285.8038,경상북도 구미시 공단동 181번지,오성전자
303577.711,324356.3395,경상북도 상주시 남성동 33-27,상주적십자병원
303218.6931,323570.1823,경상북도 상주시 낙양동 199-1 낙양동명지아파트,명지1차아파트
303811.2261,325605.8872,경상북도 상주시 냉림동 373번지 1호,KT 상주지사
384688.1354,327722.4788,경상북도 청송군 청송읍 813번지,종합문화복지타운(지하1층)
383709.4523,338467.4601,경상북도 청송군 진보면 508번지 9호,진보문화센터(지하1층)
384003.3093,327522.9635,경상북도 청송군 청송읍 1056번지 54호,청송군보건의료원(지하1층)
303185.5467,322048.4667,경상북도 상주시 신봉동 603번지 1호,명지3차아파트
330816.4614,350382.8209,경상북도 예천군 예천읍 청복리 383-2 예천세아아파트,세아아파트101동 지하주차장
330816.4614,350382.8209,경상북도 예천군 예천읍 청복리 383-2 예천세아아파트,세아아파트102동 지하주차장
328808.2731,350694.0758,경상북도 예천군 예천읍 대심리 78-1 장미마을아파트,장미마을아파트101동 지하주차장
329842.7323,351694.8139,경상북도 예천군 예천읍 노상리 125-1 예천군보건소,보건소 지하공간
329789.4399,351654.0474,경상북도 예천군 예천읍 서본리 1-8 예천우체국,예천우체국 지하공간
328832.2441,351161.3878,경상북도 예천군 예천읍 대심리 430 주공아파트,대심주공아파트 지하주차장
328832.2441,351161.3878,경상북도 예천군 예천읍 대심리 430 주공아파트,대심주공아파트 103동 지하공간
328808.2731,350694.0758,경상북도 예천군 예천읍 대심리 78-1 장미마을아파트,장미마을아파트103동 지하주차장
328858.0657,291894.8657,경상북도 구미시 황상동 149번지 6호,화진금봉4차아파트 주차장
327850.5601,289477.6264,경상북도 구미시 진평동 180번지,인의주공 206동옆 주차장
329139.4402,294248.5748,경상북도 구미시 옥계동 935번지,e편한세상
384874.2445,328127.862,경상북도 청송군 청송읍 73번지 2호,주왕산온천관광호텔(지하1층)
303928.5096,324929.44,경상북도 상주시 서성동 55번지 1호,상주소방서
304781.471,324346.5699,경상북도 상주시 성동동 63번지,경희삼백1차아파트
303080.7832,323846.4492,경상북도 상주시 낙양동 145번지 1호,경희삼백2차아파트
303960.7867,324270.3854,경상북도 상주시 남성동 85번지 49호,상주시공영유료주차장
308267.0771,330161.3379,경상북도 상주시 사벌면 덕담리 391번지 3호,사벌면사무소
303877.168,324392.2681,경상북도 상주시 남성동 12번지 10호,국민은행 상주지점
328895.158,350971.5917,경상북도 예천군 예천읍 대심리 17-8 삼우목련아파트,삼우목련아파트 지하주차장
329960.7686,351694.319,경상북도 예천군 예천읍 노하리 68-4 무궁화아파트,무궁화아파트 지하주차장
329826.9711,351611.8883,경상북도 예천군 예천읍 서본리 1-6 예천읍 행정복지센터,예천읍행정복지센터 지하공간
330314.3387,351515.5222,경상북도 예천군 예천읍 동본리 442-1 조일리버빌,조일리버빌 지하주차장
332934.7353,342687.5751,경상북도 예천군 호명면 산합리 1382 경북도청아이파크,경북도청 아이파크아파트 제1주차장
332934.7353,342687.5751,경상북도 예천군 호명면 산합리 1382 경북도청아이파크,경북도청 아이파크아파트 제2주차장
301421.8659,185642.4149,경상남도 진주시 호탄동 602번지 1호,대경아파트
301259.3138,185398.4437,경상남도 진주시 호탄동 579번지 1호,대동아파트
