"시설번호","대피시설명","지번주소","도로명주소","대피시설 구분","평시활용 유형","대피시설 면적","대피시설 인원수","개방여부","데이터기준일자","제공기관명","제공기관코드","경도","위도","X좌표","Y좌표"
"494","대림e-편한세상  7차아파트","서울특별시 구로구 신도림동 649","서울특별시 구로구 신도림로 56-13","공공용","주차장","19835","24042","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.882441","37.509077","189606.076328","545518.073792"
"495","오라모텔(지하)","서울특별시 구로구 가리봉동 125-31","서울특별시 구로구 남부순환로105길 94","공공용","기타","221","268","Y","2020-09-15","서울특별시 구로구 가리봉동주민센터","3160000","126.887952","37.480726","190089.558076","542370.863721"
"496","가리봉교회(지하)","서울특별시 구로구 가리봉동 132-86","서울특별시 구로구 우마2길 34","공공용","기타","331","400","Y","2020-09-15","서울특별시 구로구 가리봉동주민센터","3160000","126.889985","37.482255","190269.571566","542540.350414"
"497","정성요양병원","서울특별시 구로구 가리봉동 137-21","서울특별시 구로구 남부순환로107길 22","공공용","주차장","428","516","Y","2020-09-15","서울특별시 구로구 가리봉동주민센터","3160000","126.894455","37.479368","190664.594336","542219.444744"
"498","우방아파트","서울특별시 구로구 구로동 642- 46","서울특별시 구로구 구일로 154-17","공공용","주차장","965","1170","Y","2020-09-15","서울특별시 구로구 구로1동주민센터","3160000","126.874370","37.497808","188890.766697","544268.243785"
"499","현대의보아파트","서울특별시 구로구 구로동 642-33","서울특별시 구로구 구일로8길 121","공공용","주차장","440","533","Y","2020-09-15","서울특별시 구로구 구로1동주민센터","3160000","126.875873","37.497866","189023.700255","544274.484698"
"500","현대(상선)아파트","서울특별시 구로구 구로동 685-147","서울특별시 구로구 구일로10길 53","공공용","주차장","367","445","Y","2020-09-15","서울특별시 구로구 구로1동주민센터","3160000","126.875023","37.496232","188948.278017","544093.274629"
"501","한국현대아파트","서울특별시 구로구 구로동 642-39","서울특별시 구로구 구일로8길 107","공공용","주차장","450","545","Y","2020-09-15","서울특별시 구로구 구로1동주민센터","3160000","126.875397","37.497835","188981.604062","544271.172966"
"502","AK플라자","서울특별시 구로구 구로동 570번지","서울특별시 구로구 구로중앙로 152","공공용","고층건물","37594","45488","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.882795","37.501160","189636.254281","544639.341399"
"503","다솜금호아파트","서울특별시 구로구 구로동 43번지 4호","서울특별시 구로구 새말로16길 70","공공용","아파트주차장","5940","7187","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.891957","37.502866","190446.613439","544827.713760"
"504","신도림전철역","서울특별시 구로구 신도림동 460-26","서울특별시 구로구 새말로 117-21","공공용","지하철역","12925","15666","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.891187","37.509035","190379.328970","545512.494433"
"505","도림천전철역","서울특별시 구로구 신도림동 323-16","서울특별시 구로구 경인로67길 160","공공용","지하철역","1885","2284","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.882703","37.514401","189629.915698","546108.918139"
"506","신도림동주민센터","서울특별시 구로구 신도림동 390-44","서울특별시 구로구 신도림로 40","공공용","주차장","559","677","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.880595","37.507780","189442.671097","545374.304417"
"507","현대아파트","서울특별시 구로구 신도림동 641","서울특별시 구로구 신도림로19길 16","공공용","주차장","5950","7212","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.884617","37.511582","189798.772438","545795.844439"
"508","동아1차아파트","서울특별시 구로구 신도림동 643","서울특별시 구로구 신도림로 87","공공용","주차장","19835","24042","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.882239","37.510960","189588.460428","545727.104075"
"509","동아2차아파트","서울특별시 구로구 신도림동 644","서울특별시 구로구 경인로 643","공공용","주차장","13223","16027","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.885190","37.509154","189849.068203","545526.264308"
"510","대림e-편한세상  2차아파트","서울특별시 구로구 신도림동 642","서울특별시 구로구 신도림로 16","공공용","주차장","49587","60105","Y","2020-09-15","서울특별시 구로구 신도림동주민센터","3160000","126.882191","37.505123","189583.396659","545079.214669"
"511","구로리어린이공원지하주차장","서울특별시 구로구 구로동 139-82","서울특별시 구로구 구로중앙로 13","공공용","주차장","6018","7294","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.891593","37.490417","190412.836464","543446.059972"
"512","구로구민회관","서울특별시 구로구 구로동 102번지","서울특별시 구로구 가마산로25길 21","공공용","자치구","8677","10499","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.889547","37.497104","190232.765652","544188.440194"
